"Emission magnitude [kgh]","Log emission magnitude [log(kgh)]","Cumulative emissions [kgh]","Cumulative aerial emissions [kgh]","Cumulative partial emissions [kgh]","Cumulative simulated emissions [kgh]","Cumulative fraction of sites Rutherford","Emission magnitude Rutherford [kgh]","Log emission magnitude Rutherford [kgh]","Cumulative emissions fraction Rutherford [%]","Cumulative emissions fraction partial [%]","Cumulative emissions fraction aerial [%]","Cumulative emissions fraction [%]","Log cumulative emissions fraction","Cumulative fraction of sites","Log cumulative fraction of sites","Fraction of sites emitting at or above this level","Fraction of aerial detect sites at or above this level","Cumulative fraction missed partial detect sites","Partial detection correction [%]"
0.00000000000000,-INF,19336.68368184292600,15089.35977058481500,772.13927915616590,3539.33932106250040,,0.00000000000000,-INF,0.18403670658386,0.04016313854280,0.77898416392865,1.00000000000000,,0.00021710811984,-0.00000000000004,1.00000000000000,0.01736864958749,0.00188513171226,0.00000000000000
0.00218421458333,-INF,19336.68149762833500,15089.35977058481500,772.13927915616590,3539.33601167458200,,0.00330938791667,-2.48025232898306,0.18403653451564,0.04016313854280,0.77898416392865,0.99999988679536,,0.00065132435953,-0.00018861867050,0.99956620156705,0.01736864958749,0.00188513171226,0.00000000000000
0.00304524458333,-INF,19336.67845238375600,15089.35977058481500,772.13927915616590,3539.33270095666740,,0.00331071791667,-2.48007924556561,0.18403636237347,0.04016313854280,0.77898416392865,0.99999972855565,,0.00086843247937,-0.00028295873428,0.99934930235058,0.01736864958749,0.00188513171226,0.00000000000000
0.00327973875000,-INF,19336.67517264500600,15089.35977058481500,772.13927915616590,3539.32938746999930,,0.00331348666667,-2.47971937816786,0.18403619008461,0.04016313854280,0.77898416392865,0.99999955819070,,0.00108554059922,-0.00037731929563,0.99913240313410,0.01736864958749,0.00188513171226,0.00000000000000
0.00331965750000,-2.47891568872112,19336.67185298750700,15089.35977058481500,772.13927915616590,3539.32606550416800,,0.00332196583333,-2.47861568576751,0.18403601736662,0.04016313854280,0.77898416392865,0.99999938558933,,0.00130264871906,-0.00047170036345,0.99891550391763,0.01736864958749,0.00188513171226,0.00000000000000
0.00332863208333,-2.47775130938405,19336.66852435542000,15089.35977058481500,772.13927915616590,3539.32273230208240,,0.00333320208333,-2.47715720995269,0.18403584406831,0.04016313854280,0.77898416392865,0.99999921252657,,0.00151975683891,-0.00056610194668,0.99869860470115,0.01736864958749,0.00188513171226,0.00000000000000
0.00333850750000,-2.47646930855651,19336.66518584792400,15089.35977058481500,772.13927915616590,3539.31938969083400,,0.00334261125000,-2.47593639114964,0.18403567026649,0.04016313854280,0.77898416392865,0.99999903894474,,0.00173686495875,-0.00066052405421,0.99848170548468,0.01736864958749,0.00188513171226,0.00000000000000
0.00334781500000,-2.47526042364906,19336.66183803292400,15089.35977058481500,772.13927915616590,3539.31603663833200,,0.00335305250000,-2.47458088417398,0.18403549593536,0.04016313854280,0.77898416392865,0.99999886488514,,0.00195397307859,-0.00075496669499,0.99826480626820,0.01736864958749,0.00188513171226,0.00000000000000
0.00335819708333,-2.47391374295076,19336.65847983583400,15089.35977058481500,772.13927915616590,3539.31267374333270,,0.00336289500000,-2.47330397491090,0.18403532110287,0.04016313854280,0.77898416392865,0.99999869029255,,0.00217108119844,-0.00084942987794,0.99804790705173,0.01736864958749,0.00188513171226,0.00000000000000
0.00336512166667,-2.47301503241544,19336.65511471417000,15089.35977058481500,772.13927915616590,3539.30930458875040,,0.00336915458333,-2.47249207891282,0.18403514593823,0.04016313854280,0.77898416392865,0.99999851533621,,0.00238818931828,-0.00094391361200,0.99783100783525,0.01736864958749,0.00188513171226,0.00000000000000
0.00337223583333,-2.47209217001829,19336.65174247833800,15089.35977058481500,772.13927915616590,3539.30593101541600,,0.00337357333333,-2.47191854378183,0.18403497053945,0.04016313854280,0.77898416392865,0.99999834001006,,0.00260529743812,-0.00103841790612,0.99761410861878,0.01736864958749,0.00188513171226,0.00000000000000
0.00337595666667,-2.47161009944789,19336.64836652168000,15089.35977058481500,772.13927915616590,3539.30255417250050,,0.00337684291667,-2.47149487928098,0.18403479496601,0.04016313854280,0.77898416392865,0.99999816448572,,0.00282240555797,-0.00113294276924,0.99739720940230,0.01736864958749,0.00188513171226,0.00000000000000
0.00337727875000,-2.47143845474817,19336.64498924292600,15089.35977058481500,772.13927915616590,3539.29917553166700,,0.00337864083333,-2.47126186381784,0.18403461929435,0.04016313854280,0.77898416392865,0.99999798888872,,0.00303951367781,-0.00122748821033,0.99718031018583,0.01736864958749,0.00188513171226,0.00000000000000
0.00338007166667,-2.47107585633292,19336.64160917125300,15089.35977058481500,772.13927915616590,3539.29579522833400,,0.00338030333333,-2.47104585651678,0.18403444353804,0.04016313854280,0.77898416392865,0.99999781314499,,0.00325662179766,-0.00132205423833,0.99696341096935,0.01736864958749,0.00188513171226,0.00000000000000
0.00338080458333,-2.47098110388233,19336.63822836667000,15089.35977058481500,772.13927915616590,3539.29241414208260,,0.00338108625000,-2.47094456818417,0.18403426774146,0.04016313854280,0.77898416392865,0.99999763736263,,0.00347372991750,-0.00141664086223,0.99674651175288,0.01736864958749,0.00188513171226,0.00000000000000
0.00338108708333,-2.47094446086351,19336.63484727959000,15089.35977058481500,772.13927915616590,3539.28903265791500,,0.00338148416667,-2.47089299030967,0.18403409192466,0.04016313854280,0.77898416392865,0.99999746156601,,0.00369083803734,-0.00151124809099,0.99652961253640,0.01736864958749,0.00188513171226,0.00000000000000
