"Emission magnitude [kgh]","Log emission magnitude [log(kgh)]","Cumulative emissions [kgh]","Cumulative aerial emissions [kgh]","Cumulative partial emissions [kgh]","Cumulative simulated emissions [kgh]","Cumulative fraction of sites Rutherford","Emission magnitude Rutherford [kgh]","Log emission magnitude Rutherford [kgh]","Cumulative emissions fraction Rutherford [%]","Cumulative emissions fraction partial [%]","Cumulative emissions fraction aerial [%]","Cumulative emissions fraction [%]","Log cumulative emissions fraction","Cumulative fraction of sites","Cumulative fraction of sites inc partial detect","Log cumulative fraction of sites","Fraction of sites emitting at or above this level","Fraction of aerial detect sites at or above this level","Cumulative fraction missed partial detect sites","Partial detection correction [%]"
0.00000000000000,-INF,16525.48807766490800,6141.27448232593600,0.00000000000000,11157.38176461250300,,0.00000000000000,-INF,0.67835323530701,0.00000000000000,0.36847338917714,1.00000000000000,,0.00018618506796,0.00018618506796,-0.00000000000002,1.00000000000000,,0.00000000000000,0.00000000000000
0.00000000000000,-INF,16525.48807766490800,6141.27448232593600,0.00000000000000,11157.38176461250300,,0.00000000000000,-INF,0.67835323530701,0.00000000000000,0.36847338917714,1.00000000000000,,0.00037237013592,0.00037237013592,-0.00008086667597,0.99981381493204,,0.00000000000000,0.00000000000000
0.00020968750000,-INF,16525.48786797740500,6141.27448232593600,0.00000000000000,11157.37477502917000,,0.00698958333333,-2.15554871287057,0.67835281020752,0.00000000000000,0.36847338917714,0.99999998831722,,0.00055855520387,0.00055855520387,-0.00016174841229,0.99962762986408,,0.00000000000000,0.00000000000000
0.00034947916667,-INF,16525.48751849824000,6141.27448232593600,0.00000000000000,11157.36778544583300,,0.00698958333333,-2.15554871287057,0.67835238510803,0.00000000000000,0.36847338917714,0.99999996714366,,0.00074474027183,0.00074474027183,-0.00024264521459,0.99944144479613,,0.00000000000000,0.00000000000000
0.00069895833333,-INF,16525.48681953990700,6141.27448232593600,0.00000000000000,11157.36079586250000,,0.00698958333333,-2.15554871287057,0.67835196000854,0.00000000000000,0.36847338917714,0.99999992433065,,0.00093092533979,0.00093092533979,-0.00032355708849,0.99925525972817,,0.00000000000000,0.00000000000000
0.00153770833333,-INF,16525.48528183157400,6141.27448232593600,0.00000000000000,11157.35380627916900,,0.00698958333333,-2.15554871287057,0.67835153490905,0.00000000000000,0.36847338917714,0.99999983125344,,0.00111711040775,0.00111711040775,-0.00040448403960,0.99906907466021,,0.00000000000000,0.00000000000000
0.00258614583333,-INF,16525.48269568574300,6141.27448232593600,0.00000000000000,11157.34681603333000,,0.00699024583333,-2.15550771358733,0.67835110977054,0.00000000000000,0.36847338917714,0.99999967377896,,0.00130329547570,0.00130329547570,-0.00048542607355,0.99888288959225,,0.00000000000000,0.00000000000000
0.00342489583333,-INF,16525.47927078990300,6141.27448232593600,0.00000000000000,11157.33982297083300,,0.00699306250000,-2.15533396237797,0.67835068445747,0.00000000000000,0.36847338917714,0.99999946442688,,0.00148948054366,0.00148948054366,-0.00056638319596,0.99869670452430,,0.00000000000000,0.00000000000000
0.00468302083333,-INF,16525.47458776907000,6141.27448232593600,0.00000000000000,11157.33282800416400,,0.00699496666667,-2.15521653025505,0.67835025902783,0.00000000000000,0.36847338917714,0.99999917818208,,0.00167566561162,0.00167566561162,-0.00064735541246,0.99851051945634,,0.00000000000000,0.00000000000000
0.00524279583333,-INF,16525.46934497323300,6141.27448232593600,0.00000000000000,11157.32582952083000,,0.00699848333333,-2.15499946339465,0.67834983338983,0.00000000000000,0.36847338917714,0.99999885895877,,0.00186185067958,0.00186185067958,-0.00072834272866,0.99832433438838,,0.00000000000000,0.00000000000000
